"Latest: Time (s)","Latest: Absorbance at 450.2 nm"
0,0.66845536279
1.67147333333,0.667257780421
3.34294666667,0.666167240668
5.01442,0.663688614224
6.68589333333,0.661384997287
8.35736666667,0.660628809765
10.02884,0.654917901113
11.7003133333,0.655209496781
13.3717866667,0.651799970219
15.04326,0.649915181988
16.7147333333,0.646830337941
18.3862066667,0.644457246456
20.05768,0.641427560573
21.7291533333,0.64011440592
23.4006266667,0.636844211082
25.0721,0.635834645335
26.7435733333,0.634364650582
28.4150466667,0.632312470107
30.08652,0.630848192498
31.7579933333,0.628804857965
33.4294666667,0.625351248364
35.10094,0.623375538272
36.7724133333,0.61888408452
38.4438866667,0.617803148081
40.11536,0.615799915629
41.7868333333,0.612622331732
43.4583066667,0.611159375518
45.12978,0.609703164535
46.8012533333,0.606368939104
48.4727266667,0.604439268652
50.1442,0.603154031354
51.8156733333,0.60188204128
53.4871466667,0.601748902988
55.15862,0.597573741628
56.8300933333,0.596901332862
58.5015666667,0.591531957477
60.17304,0.591263312172
61.8445133333,0.588290983139
63.5159866667,0.588518718285
65.18746,0.584101388125
66.8589333333,0.581001541373
68.5304066667,0.581024499136
70.20188,0.580662251323
71.8733533333,0.57539429733
73.5448266667,0.572756617115
75.2163,0.57109145776
76.8877733333,0.57081001001
78.5592466667,0.568778209698
80.23072,0.567185148729
81.9021933333,0.565554633192
83.5736666667,0.562481025035
85.24514,0.56280300425
86.9166133333,0.560604399799
88.5880866667,0.557762834859
90.25956,0.557920783549
91.9310333333,0.554504124331
93.6025066667,0.553277577743
95.27398,0.551439618574
96.9454533333,0.546477655852
98.6169266667,0.544026837219
100.2884,0.54314557331
101.959873333,0.542616729309
103.631346667,0.539615080354
105.30282,0.538668652857
106.974293333,0.537332072353
108.645766667,0.536288678961
110.31724,0.533610113763
111.988713333,0.532390359398
113.660186667,0.530203321177
115.33166,0.529677222431
117.003133333,0.523641902062
118.674606667,0.522569798899
120.34608,0.522117678833
122.017553333,0.519505387344
123.689026667,0.519763851525
125.3605,0.515713408163
127.031973333,0.513325642438
128.703446667,0.51437191859
130.37492,0.513238076945
132.046393333,0.511158956011
133.717866667,0.509454336273
135.38934,0.508202950147
137.060813333,0.507317694589
138.732286667,0.504047121024
140.40376,0.503159437121
142.075233333,0.500067956432
143.746706667,0.497800503161
145.41818,0.497053321142
147.089653333,0.496602342324
148.761126667,0.494464741226
150.4326,0.493536763971
152.104073333,0.492780764883
153.775546667,0.490924009773
155.44702,0.490135032412
157.118493333,0.48827358621
158.789966667,0.485817129436
160.46144,0.484240114714
162.132913333,0.48251058473
163.804386667,0.479481743098
165.47586,0.4810342989
167.147333333,0.476888553542
168.818806667,0.476338467727
170.49028,0.47724330269
172.161753333,0.473427076992
173.833226667,0.473113837151
175.5047,0.471669264657
177.176173333,0.469287698107
178.847646667,0.469178224443
180.51912,0.464339129963
182.190593333,0.467476146269
183.862066667,0.46466505927
185.53354,0.463880634452
187.205013333,0.462483955944
188.876486667,0.459545250524
190.54796,0.457593873366
192.219433333,0.456992846254
193.890906667,0.452700274402
195.56238,0.45168975921
197.233853333,0.450293727914
198.905326667,0.450362886997
