"Latest: Time (s)","Latest: Absorbance at 450.2 nm"
0,0.692255977006
1.67147333333,0.692128207923
3.34294666667,0.694512531425
5.01442,0.693059899314
6.68589333333,0.691586784564
8.35736666667,0.693534210443
10.02884,0.691260318301
11.7003133333,0.693150720219
13.3717866667,0.692415255964
15.04326,0.691146942532
16.7147333333,0.690729366693
18.3862066667,0.693769474162
20.05768,0.693938492187
21.7291533333,0.694987037829
23.4006266667,0.694601845104
25.0721,0.694138477459
26.7435733333,0.694440369356
28.4150466667,0.693412040389
30.08652,0.695464855761
31.7579933333,0.695421992564
33.4294666667,0.694115370767
35.10094,0.695413615886
36.7724133333,0.695771024782
38.4438866667,0.69643844428
40.11536,0.697603184259
41.7868333333,0.695384577987
43.4583066667,0.694644348703
45.12978,0.693255868441
46.8012533333,0.694515596488
48.4727266667,0.697579752186
50.1442,0.69511704602
51.8156733333,0.694890254428
53.4871466667,0.694514063954
55.15862,0.693302964209
56.8300933333,0.694884537351
58.5015666667,0.693131554594
60.17304,0.694893601044
61.8445133333,0.694732016802
63.5159866667,0.692928839628
65.18746,0.693389806079
66.8589333333,0.694884537351
68.5304066667,0.695639004826
70.20188,0.69496346755
71.8733533333,0.694133466265
73.5448266667,0.695009214585
75.2163,0.694878959788
76.8877733333,0.695351214721
78.5592466667,0.69579897066
80.23072,0.694442458823
81.9021933333,0.696203968506
83.5736666667,0.696299366403
85.24514,0.693826919001
86.9166133333,0.697034857169
88.5880866667,0.693880058764
90.25956,0.693862112934
91.9310333333,0.69726711815
93.6025066667,0.693542689958
95.27398,0.695345491573
96.9454533333,0.694471294489
98.6169266667,0.694014884876
100.2884,0.69532092477
101.959873333,0.695784997496
103.631346667,0.695005309162
105.30282,0.694575508896
106.974293333,0.694351506682
108.645766667,0.694341897231
110.31724,0.693900648692
111.988713333,0.694401507109
113.660186667,0.695595705432
115.33166,0.696821068219
117.003133333,0.694415017962
118.674606667,0.695406216622
120.34608,0.697145715806
122.017553333,0.695774797371
123.689026667,0.694787079743
125.3605,0.694950776391
127.031973333,0.696985393356
128.703446667,0.694016554812
130.37492,0.694401924965
132.046393333,0.693993176297
133.717866667,0.69409463147
135.38934,0.695275703153
137.060813333,0.694643094438
138.732286667,0.693642510473
140.40376,0.695766413885
142.075233333,0.692591792536
143.746706667,0.692781722273
145.41818,0.693236837088
147.089653333,0.692415255964
148.761126667,0.693605248879
150.4326,0.694655776609
152.104073333,0.692518284694
153.775546667,0.696229704291
155.44702,0.695447402809
157.118493333,0.69468016644
158.789966667,0.693750559365
160.46144,0.693990671531
162.132913333,0.693621098569
163.804386667,0.694582475991
165.47586,0.696301185042
167.147333333,0.693912891815
168.818806667,0.695055663913
170.49028,0.693067536427
172.161753333,0.693849453918
173.833226667,0.694616198313
175.5047,0.69344442114
177.176173333,0.692675023979
178.847646667,0.69384514159
180.51912,0.693793536088
182.190593333,0.691427117433
183.862066667,0.69321447284
185.53354,0.69318738725
187.205013333,0.693374937519
188.876486667,0.695363777993
190.54796,0.693884371438
192.219433333,0.696145369337
193.890906667,0.693941414065
195.56238,0.691310378974
197.233853333,0.693116000505
198.905326667,0.693117666988
