"Latest: Time (s)","Latest: Absorbance at 450.2 nm"
0,0.676621777159
1.67147333333,0.673281645236
3.34294666667,0.671811327671
5.01442,0.669872481064
6.68589333333,0.668005554637
8.35736666667,0.666056575609
10.02884,0.663145067056
11.7003133333,0.662257867104
13.3717866667,0.660462607024
15.04326,0.656757260276
16.7147333333,0.655120292504
18.3862066667,0.651701616448
20.05768,0.650736810239
21.7291533333,0.646698657971
23.4006266667,0.646250371809
25.0721,0.642234013607
26.7435733333,0.641029760429
28.4150466667,0.636824204135
30.08652,0.634439257626
31.7579933333,0.633538158917
33.4294666667,0.631423841151
35.10094,0.630023675837
36.7724133333,0.626078381589
38.4438866667,0.624335302802
40.11536,0.622512190715
41.7868333333,0.621488961509
43.4583066667,0.6183841999
45.12978,0.616343029743
46.8012533333,0.613709171976
48.4727266667,0.6135185935
50.1442,0.61050442351
51.8156733333,0.607273458295
53.4871466667,0.60504453777
55.15862,0.603563677769
56.8300933333,0.600771031256
58.5015666667,0.599454835098
60.17304,0.598699162582
61.8445133333,0.595249793102
63.5159866667,0.59256082786
65.18746,0.592407718467
66.8589333333,0.588895337932
68.5304066667,0.587173354537
70.20188,0.585390654548
71.8733533333,0.581878015416
73.5448266667,0.579953215075
75.2163,0.57737554409
76.8877733333,0.575364116802
78.5592466667,0.573488257046
80.23072,0.571812208062
81.9021933333,0.568886277113
83.5736666667,0.568892745321
85.24514,0.56848699969
86.9166133333,0.562973499986
88.5880866667,0.563582871969
90.25956,0.562647178048
91.9310333333,0.559554897084
93.6025066667,0.55839640027
95.27398,0.556846280561
96.9454533333,0.551945709684
98.6169266667,0.550277352541
100.2884,0.550636219104
101.959873333,0.548280464048
103.631346667,0.545119035939
105.30282,0.543726746889
106.974293333,0.544137293506
108.645766667,0.539574219124
110.31724,0.536951458863
111.988713333,0.535961197767
113.660186667,0.533862098573
115.33166,0.532277384508
117.003133333,0.530487045615
118.674606667,0.529495963311
120.34608,0.527584110207
122.017553333,0.527762010676
123.689026667,0.525084619506
125.3605,0.522455787276
127.031973333,0.520394310705
128.703446667,0.51846684241
130.37492,0.519933263926
132.046393333,0.517295592328
133.717866667,0.514708007784
135.38934,0.514235016789
137.060813333,0.514295734036
138.732286667,0.510244690728
140.40376,0.508590227393
142.075233333,0.508468570433
143.746706667,0.505379940046
145.41818,0.502512300352
147.089653333,0.502689983226
148.761126667,0.499217239924
150.4326,0.498226572952
152.104073333,0.496681315955
153.775546667,0.494779081996
155.44702,0.492180548974
157.118493333,0.491979408552
158.789966667,0.490534132608
160.46144,0.488508735523
162.132913333,0.485909591982
163.804386667,0.484031462255
165.47586,0.483867683238
167.147333333,0.481780863203
168.818806667,0.481245352725
170.49028,0.479800886054
172.161753333,0.478539106238
173.833226667,0.476963684493
175.5047,0.475818042196
177.176173333,0.472940321525
178.847646667,0.471367040678
180.51912,0.46982750804
182.190593333,0.470213438397
183.862066667,0.467723768401
185.53354,0.466075450151
187.205013333,0.463679652314
188.876486667,0.463656808154
190.54796,0.462060858748
192.219433333,0.46025355066
193.890906667,0.458714799136
195.56238,0.456294911362
197.233853333,0.456238162336
198.905326667,0.456035697164
